Name;Organisation;responsabilities;search;search page;Full URL
David J. Rice;Rush Presbyterian St. Luke's Med. Ctr.;Labor Medical Law Education Immigration;ELA Medical S A FR;70;http://www.martindale.com/David-J-Rice/941491-lawyer.htm
Paula Robinson;Rush Presbyterian St. Luke's Med. Ctr.;Labor Medical Law Education Immigration;ELA Medical S A FR;70;http://www.martindale.com/Paula-Robinson/165080-lawyer.htm
Vivian L. Holley;Law & Mediation Offices of Vivian L. Holley;;ELA Medical S A FR;70;http://www.martindale.com/Vivian-L-Holley/232321-lawyer.htm
Judith A. Bass;Mediation Inc.;Mediation;ELA Medical S A FR;70;http://www.martindale.com/Judith-A-Bass/778635-lawyer.htm
Bernard H. McLaughlin, Jr.;McLaughlin Mediation Services;;ELA Medical S A FR;70;http://www.martindale.com/Bernard-H-McLaughlin-Jr/595327-lawyer.htm
Barry W. Knobel;Knobel Mediation Services, LLC;;ELA Medical S A FR;80;http://www.martindale.com/Barry-W-Knobel/1580466-lawyer.htm
Randall E. Butler;Knobel Mediation Services, LLC;;ELA Medical S A FR;80;http://www.martindale.com/Randall-E-Butler/1674057-lawyer.htm
Laurel Greenspan Kaufer;Kaufer Mediation Services;;ELA Medical S A FR;80;http://www.martindale.com/Laurel-Greenspan-Kaufer/82482-lawyer.htm
Steven B. Schmidt;Steven B. Schmidt Mediation, LLC;;ELA Medical S A FR;80;http://www.martindale.com/Steven-B-Schmidt/753015-lawyer.htm
Samuel L. Heller;Mediation Inc.;Mediation(20%) Bankruptcy(40%) Civil Litigation(40%);ELA Medical S A FR;80;http://www.martindale.com/Samuel-L-Heller/781792-lawyer.htm
John D. Rothman;Arbitration Services" href="/Oklahoma-Mediation-Arbitration/157551219-law-firm-office.htm">Oklahoma MediationArbitration Services;;ELA Medical S A FR;80;http://www.martindale.com/John-D-Rothman/1489969-lawyer.htm
Donna J. Tisch;Donna Tisch - Mediation;;ELA Medical S A FR;80;http://www.martindale.com/Donna-J-Tisch/33723123-lawyer.htm
Carlos Hermenegildo Cisneros;Cisneros Law and Mediation Center;;ELA Medical S A FR;80;http://www.martindale.com/Carlos-Hermenegildo-Cisneros/1632460-lawyer.htm
Gregory P. Guth;Guth Mediations Inc.;;ELA Medical S A FR;80;http://www.martindale.com/Gregory-P-Guth/964330-lawyer.htm
Judith C. Nesburn;Judith C. Nesburn" href="/Law-Mediation-Offices-of-Judith/2588114-law-firm-office.htm">Law & Mediation Offices ofJudith C. Nesburn;;ELA Medical S A FR;80;http://www.martindale.com/Judith-C-Nesburn/136101-lawyer.htm
Patricia P. McDonald;Judith C. Nesburn" href="/Law-Mediation-Offices-of-Judith/2588114-law-firm-office.htm">Law & Mediation Offices ofJudith C. Nesburn;;ELA Medical S A FR;90;http://www.martindale.com/Patricia-P-McDonald/644573-lawyer.htm
S. Jon Trachta;Judith C. Nesburn" href="/Law-Mediation-Offices-of-Judith/2588114-law-firm-office.htm">Law & Mediation Offices ofJudith C. Nesburn;;ELA Medical S A FR;90;http://www.martindale.com/S-Jon-Trachta/58391-lawyer.htm
Dianne Wright;Judith C. Nesburn" href="/Law-Mediation-Offices-of-Judith/2588114-law-firm-office.htm">Law & Mediation Offices ofJudith C. Nesburn;;ELA Medical S A FR;90;http://www.martindale.com/Dianne-Wright/761582-lawyer.htm
Richard G. Waldron;Medical Mutual of Ohio;Insurance Litigation Personnel Labor Law Health Law Medical Contracts;ELA Medical S A FR;90;http://www.martindale.com/Richard-G-Waldron/1442164-lawyer.htm
Wayne L. Witmer;The Medical Protective Co.;Medical Malpractice Law(100%);ELA Medical S A FR;90;http://www.martindale.com/Wayne-L-Witmer/976449-lawyer.htm
Alan Alhadeff;Alhadeff & Forbes Mediation Services;;ELA Medical S A FR;90;http://www.martindale.com/Alan-Alhadeff/1770832-lawyer.htm
James J. Cherry;Alhadeff & Forbes Mediation Services;;ELA Medical S A FR;90;http://www.martindale.com/James-J-Cherry/281807-lawyer.htm
James L. Nulman;Alhadeff & Forbes Mediation Services;;ELA Medical S A FR;90;http://www.martindale.com/James-L-Nulman/785200-lawyer.htm
Jeffrey H. Abrams;Mediation & Arbitration, Inc." href="/Abrams-Mediation-Arbitration-Inc/157658419-law-firm-office.htm">AbramsMediation & Arbitration, Inc.;;ELA Medical S A FR;90;http://www.martindale.com/Jeffrey-H-Abrams/1636163-lawyer.htm
Ara H. Shirinian;Ara Shirinian Mediation;;ELA Medical S A FR;90;http://www.martindale.com/Ara-H-Shirinian/1065325-lawyer.htm
Richard M. Kaplan;Richard Kaplan Mediation;;ELA Medical S A FR;100;http://www.martindale.com/Richard-M-Kaplan/157109723-lawyer.htm
Margaret Mary Huff;Richard Kaplan Mediation;;ELA Medical S A FR;100;http://www.martindale.com/Margaret-Mary-Huff/1615095-lawyer.htm
Linda F. Spiegel;Richard Kaplan Mediation;;ELA Medical S A FR;100;http://www.martindale.com/Linda-F-Spiegel/1091207-lawyer.htm
Ann M. Zimmerman;Law & Mediation" href="/Eggers-Zimmerman-Law-Mediation/37200553-law-firm-office.htm">Eggers & ZimmermanLaw & Mediation;;ELA Medical S A FR;100;http://www.martindale.com/Ann-M-Zimmerman/1010550-lawyer.htm
Dan M. Brookhart;Brookhart Law & Mediation;;ELA Medical S A FR;100;http://www.martindale.com/Dan-M-Brookhart/1525706-lawyer.htm
Amy J. Glass;Michigan Mediation & Arbitration Services;;ELA Medical S A FR;100;http://www.martindale.com/Amy-J-Glass/723213-lawyer.htm
Mr. Gerald F. Gerstenfeld;Michigan Mediation & Arbitration Services;;ELA Medical S A FR;100;http://www.martindale.com/Mr-Gerald-F-Gerstenfeld/94082-lawyer.htm
Brian D. Turner, Jr.;Brian Turner, LLC" href="/The-Mediation-Law-Offices-of-Brian/33656500-law-firm-office.htm">The Mediation and Law Offices ofBrian Turner, LLC;;ELA Medical S A FR;100;http://www.martindale.com/Brian-D-Turner-Jr/23970-lawyer.htm
Susan Wood O'Leary;Rush Presbyterian St. Luke's Med. Ctr.;Insurance Risk Management Medical Malpractice;ELA Medical S A FR;100;http://www.martindale.com/Susan-Wood-OLeary/941490-lawyer.htm
Ryna Goodman Mehr;Rush Presbyterian St. Luke's Med. Ctr.;Insurance Risk Management Medical Malpractice;ELA Medical S A FR;100;http://www.martindale.com/Ryna-Goodman-Mehr/767779-lawyer.htm
David L. Price;Rush Presbyterian St. Luke's Med. Ctr.;Insurance Risk Management Medical Malpractice;ELA Medical S A FR;110;http://www.martindale.com/David-L-Price/177476-lawyer.htm
John Karl Miles Jr.;Rush Presbyterian St. Luke's Med. Ctr.;Insurance Risk Management Medical Malpractice;ELA Medical S A FR;110;http://www.martindale.com/John-Karl-Miles-Jr/860675-lawyer.htm
Joan Patsy Ostroy;Joan Patsy Ostroy" href="/Law-Mediation-Office-of-Joan-Patsy/143408-law-firm-office.htm">Law and Mediation Office ofJoan Patsy Ostroy;;ELA Medical S A FR;110;http://www.martindale.com/Joan-Patsy-Ostroy/143410-lawyer.htm
George Reath Jr.;Joan Patsy Ostroy" href="/Law-Mediation-Office-of-Joan-Patsy/143408-law-firm-office.htm">Law and Mediation Office ofJoan Patsy Ostroy;;ELA Medical S A FR;110;http://www.martindale.com/George-Reath-Jr/1547451-lawyer.htm
Regina Zelonker;Regina F. Zelonker, Esq." href="/Law-Mediation-Office-of-Regina/157633387-law-firm-office.htm">Law & Mediation Office ofRegina F. Zelonker, Esq.;;ELA Medical S A FR;110;http://www.martindale.com/Regina-Zelonker/157633393-lawyer.htm
Peter Spelman;Regina F. Zelonker, Esq." href="/Law-Mediation-Office-of-Regina/157633387-law-firm-office.htm">Law & Mediation Office ofRegina F. Zelonker, Esq.;;ELA Medical S A FR;110;http://www.martindale.com/Peter-Spelman/78943-lawyer.htm
James H. Mayer;Regina F. Zelonker, Esq." href="/Law-Mediation-Office-of-Regina/157633387-law-firm-office.htm">Law & Mediation Office ofRegina F. Zelonker, Esq.;;ELA Medical S A FR;110;http://www.martindale.com/James-H-Mayer/214273-lawyer.htm
James W. Richardson;Univ. Medical Ctr. Corporation;Healthcare Law(80%) Medical Malpractice(20%);ELA Medical S A FR;110;http://www.martindale.com/James-W-Richardson/60236-lawyer.htm
Charlotte Meeks Venner;Univ. Medical Ctr. Corporation;Healthcare Law(80%) Medical Malpractice(20%);ELA Medical S A FR;110;http://www.martindale.com/Charlotte-Meeks-Venner/245297-lawyer.htm
James Mathieu;Mathieu Mediations;;ELA Medical S A FR;110;http://www.martindale.com/James-Mathieu/1535783-lawyer.htm
Daniel S. Simon;Mathieu Mediations;;ELA Medical S A FR;120;http://www.martindale.com/Daniel-S-Simon/761552-lawyer.htm
Carmine M. Bravo;Carmine M. Bravo, Attorney Mediation Group, P.A.;;ELA Medical S A FR;120;http://www.martindale.com/Carmine-M-Bravo/832784-lawyer.htm
Jeffrey Gulin;Arbitration and Mediation Services;;ELA Medical S A FR;120;http://www.martindale.com/Jeffrey-Gulin/616854-lawyer.htm
Frank D. Russo;Russo Mediation and Law;;ELA Medical S A FR;120;http://www.martindale.com/Frank-D-Russo/174568-lawyer.htm
Mary V. Balazs;Balazs Mediation Services;;ELA Medical S A FR;120;http://www.martindale.com/Mary-V-Balazs/1015025-lawyer.htm
Kate Warner;Balazs Mediation Services;;ELA Medical S A FR;120;http://www.martindale.com/Kate-Warner/256212-lawyer.htm
David S. Goldberg;Balazs Mediation Services;;ELA Medical S A FR;120;http://www.martindale.com/David-S-Goldberg/632941-lawyer.htm
Stefan M. Mason;Balazs Mediation Services;;ELA Medical S A FR;120;http://www.martindale.com/Stefan-M-Mason/142623-lawyer.htm
David B. Harwi;Balazs Mediation Services;;ELA Medical S A FR;120;http://www.martindale.com/David-B-Harwi/1547450-lawyer.htm
Mark L. Van Valkenburgh;Balazs Mediation Services;;ELA Medical S A FR;120;http://www.martindale.com/Mark-L-Van-Valkenburgh/853055-lawyer.htm
Robert A. Resnik;Resnik Mediation LLC;;ELA Medical S A FR;130;http://www.martindale.com/Robert-A-Resnik/44720-lawyer.htm
Linda A. Liljedahl;Resnik Mediation LLC;;ELA Medical S A FR;130;http://www.martindale.com/Linda-A-Liljedahl/588353-lawyer.htm
Jesse S. Faerber;Mediation Inc.;Personal Injury Law Wrongful Death Law Medical Malpractice Trial Practice Insurance Litigation;ELA Medical S A FR;130;http://www.martindale.com/Jesse-S-Faerber/828507-lawyer.htm
Eileen Evans Barker;Mediation Inc.;Personal Injury Law Wrongful Death Law Medical Malpractice Trial Practice Insurance Litigation;ELA Medical S A FR;130;http://www.martindale.com/Eileen-Evans-Barker/114235-lawyer.htm
Paula Winchester Rank;Family Law & Mediation, PLC" href="/Paula-W-Rank-Family-Law-Mediation/4453844-law-firm-office.htm">Paula W. RankFamily Law & Mediation, PLC;;ELA Medical S A FR;130;http://www.martindale.com/Paula-Winchester-Rank/1735515-lawyer.htm
William C. Turner;Resolution, Inc.dba William C. Turner, Esq." href="/Mediation-Dispute-Resolution-Inc/26882752-law-firm-office.htm">Mediation and DisputeResolution, Inc.dba William C. Turner, Esq.;;ELA Medical S A FR;130;http://www.martindale.com/William-C-Turner/1068071-lawyer.htm
James F. Page Jr.;Resolution, Inc.dba William C. Turner, Esq." href="/Mediation-Dispute-Resolution-Inc/26882752-law-firm-office.htm">Mediation and DisputeResolution, Inc.dba William C. Turner, Esq.;;ELA Medical S A FR;130;http://www.martindale.com/James-F-Page-Jr/821746-lawyer.htm
Thomas J. Henry;P.C. Attorney atLaw/Mediator/Mediations" href="/Thomas-J-Henry-PC-Attorney/4208345-law-firm-office.htm">Thomas J. Henry,P.C. Attorney atLaw/Mediator/Mediations;;ELA Medical S A FR;130;http://www.martindale.com/Thomas-J-Henry/1660433-lawyer.htm
D. Lee Gwinn;P.C. Attorney atLaw/Mediator/Mediations" href="/Thomas-J-Henry-PC-Attorney/4208345-law-firm-office.htm">Thomas J. Henry,P.C. Attorney atLaw/Mediator/Mediations;;ELA Medical S A FR;130;http://www.martindale.com/D-Lee-Gwinn/1659165-lawyer.htm
Alla Roytberg, Esq.;and Mediation Center ofAlla Roytberg" href="/Law-Offices-Mediation-Center-of/44325624-law-firm-office.htm">Law Officesand Mediation Center ofAlla Roytberg;;ELA Medical S A FR;130;http://www.martindale.com/Alla-Roytberg-Esq/157857163-lawyer.htm
